SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 265, 0, 11.3846141381678, Lightning, 
1, 266, 6, 13.6586674946705, Accidental, 
1, 266, 0, 13.6586674946705, Lightning, 
1, 267, 5, 14.1556767183342, Accidental, 
1, 267, 0, 14.1556767183342, Lightning, 
1, 268, 5, 13.6525011681507, Accidental, 
1, 268, 0, 13.6525011681507, Lightning, 
1, 269, 6, 11.4417024068842, Accidental, 
1, 269, 0, 11.4417024068842, Lightning, 
1, 270, 6, 10.0242396059114, Accidental, 
1, 270, 0, 10.0242396059114, Lightning, 
1, 271, 6, 10.5759345163095, Accidental, 
1, 272, 5, 13.1211054383349, Accidental, 
1, 272, 0, 13.1211054383349, Lightning, 
1, 273, 5, 17.2435835441055, Accidental, 
1, 273, 0, 17.2435835441055, Lightning, 
1, 273, 1, 17.2435835441055, Rx, 
1, 274, 5, 18.8104747289889, Accidental, 
1, 274, 0, 18.8104747289889, Lightning, 
1, 274, 1, 18.8104747289889, Rx, 
1, 275, 4, 20.0138287041126, Accidental, 
1, 275, 0, 20.0138287041126, Lightning, 
1, 275, 1, 20.0138287041126, Rx, 
1, 276, 5, 19.3254045108533, Accidental, 
1, 276, 0, 19.3254045108533, Lightning, 
1, 276, 1, 19.3254045108533, Rx, 
1, 277, 5, 20.444932323322, Accidental, 
1, 277, 0, 20.444932323322, Lightning, 
1, 277, 1, 20.444932323322, Rx, 
1, 278, 5, 17.970057593412, Accidental, 
1, 278, 0, 17.970057593412, Lightning, 
1, 278, 1, 17.970057593412, Rx, 
1, 279, 4, 18.93129288371, Accidental, 
1, 279, 0, 18.93129288371, Lightning, 
1, 279, 1, 18.93129288371, Rx, 
1, 280, 5, 14.7137534006681, Accidental, 
1, 280, 0, 14.7137534006681, Lightning, 
1, 281, 5, 12.5181017551439, Accidental, 
1, 282, 5, 16.3509119892948, Accidental, 
1, 282, 1, 16.3509119892948, Rx, 
1, 283, 5, 12.1672905861393, Accidental, 
1, 283, 0, 12.1672905861393, Lightning, 
1, 284, 5, 10.8318248030846, Accidental, 
1, 284, 0, 10.8318248030846, Lightning, 
1, 285, 5, 14.981223826237, Accidental, 
1, 285, 0, 14.981223826237, Lightning, 
1, 287, 5, 11.5012804093373, Accidental, 
1, 287, 0, 11.5012804093373, Lightning, 
1, 288, 5, 10.5548800277711, Accidental, 
1, 288, 0, 10.5548800277711, Lightning, 
1, 289, 5, 11.0464420452445, Accidental, 
1, 290, 6, 10.4673623527421, Accidental, 
1, 290, 0, 10.4673623527421, Lightning, 
1, 292, 4, 16.2273330982928, Accidental, 
1, 292, 0, 16.2273330982928, Lightning, 
1, 292, 1, 16.2273330982928, Rx, 
1, 293, 6, 13.3176739779936, Accidental, 
1, 294, 5, 12.5375766851458, Accidental, 
1, 295, 5, 14.3954839976901, Accidental, 
1, 296, 5, 15.5823955531162, Accidental, 
1, 296, 0, 15.5823955531162, Lightning, 
1, 296, 1, 15.5823955531162, Rx, 
1, 297, 5, 14.3828653035107, Accidental, 
1, 297, 0, 14.3828653035107, Lightning, 
1, 298, 5, 11.7549622137764, Accidental, 
1, 299, 5, 14.2338573185479, Accidental, 
1, 300, 5, 12.7490386657406, Accidental, 
1, 300, 0, 12.7490386657406, Lightning, 
1, 301, 5, 14.1836007615607, Accidental, 
1, 301, 0, 14.1836007615607, Lightning, 
1, 302, 5, 14.3607994964669, Accidental, 
1, 302, 0, 14.3607994964669, Lightning, 
1, 303, 5, 14.3997460341894, Accidental, 
1, 303, 0, 14.3997460341894, Lightning, 
1, 304, 5, 14.4005660574669, Accidental, 
1, 304, 0, 14.4005660574669, Lightning, 
1, 306, 5, 11.3456139632087, Accidental, 
1, 306, 0, 11.3456139632087, Lightning, 
1, 307, 5, 11.967228210282, Accidental, 
1, 307, 0, 11.967228210282, Lightning, 
1, 308, 6, 11.4808941389577, Accidental, 
1, 309, 6, 11.2980077678994, Accidental, 
1, 309, 0, 11.2980077678994, Lightning, 
1, 310, 5, 11.460928590236, Accidental, 
1, 311, 5, 14.3521179586612, Accidental, 
1, 311, 0, 14.3521179586612, Lightning, 
1, 312, 6, 12.6739021869601, Accidental, 
1, 313, 5, 13.4694496222213, Accidental, 
1, 314, 5, 17.7371010209444, Accidental, 
1, 314, 0, 17.7371010209444, Lightning, 
1, 315, 4, 16.4036263356224, Accidental, 
1, 316, 5, 14.7091568340316, Accidental, 
1, 316, 0, 14.7091568340316, Lightning, 
1, 317, 5, 11.935031856936, Accidental, 
1, 317, 0, 11.935031856936, Lightning, 
