"","FRI","mean","ID","Model","rep"
"334",4,NA,"XeriredOaks","HadGEM",3
"335",5,1024.81027316714,"XeriredOaks","HadGEM",3
"336",1,30.0632698686383,"XeriHwd","HadGEM",3
"337",2,32.7040760650811,"XeriHwd","HadGEM",3
"338",3,34.898976676418,"XeriHwd","HadGEM",3
"339",4,NA,"XeriHwd","HadGEM",3
"340",5,37.5626094059984,"XeriHwd","HadGEM",3
"341",1,384.578312900916,"WhitePine","HadGEM",3
"342",2,426.192354135547,"WhitePine","HadGEM",3
"343",3,534.165974206327,"WhitePine","HadGEM",3
"344",4,NA,"WhitePine","HadGEM",3
"345",5,742.579701428225,"WhitePine","HadGEM",3
"346",1,574.642167248711,"Maples","HadGEM",3
"347",2,1125.76565980018,"Maples","HadGEM",3
"348",3,1591.04767162582,"Maples","HadGEM",3
"349",4,NA,"Maples","HadGEM",3
"350",5,2003.3723798666,"Maples","HadGEM",3
"351",1,1793.75944299136,"MesicHard","HadGEM",3
"352",2,2641.05847995063,"MesicHard","HadGEM",3
"353",3,3189.62816587176,"MesicHard","HadGEM",3
"354",4,NA,"MesicHard","HadGEM",3
"355",5,3504.04955250141,"MesicHard","HadGEM",3
"356",1,0.0623493139675906,"Hemlock","HadGEM",3
"357",2,0.358062236692636,"Hemlock","HadGEM",3
"358",3,0.694630681494804,"Hemlock","HadGEM",3
"359",4,NA,"Hemlock","HadGEM",3
"360",5,0.833343806386168,"Hemlock","HadGEM",3
"361",1,35.7082802547771,"Yellowpines","CNRM-CM5",3
"362",2,59.8253212465281,"Yellowpines","CNRM-CM5",3
"363",3,79.1769456369278,"Yellowpines","CNRM-CM5",3
"364",4,NA,"Yellowpines","CNRM-CM5",3
"365",5,88.1836856634121,"Yellowpines","CNRM-CM5",3
"366",1,4883.7974522293,"Whiteoaks","CNRM-CM5",3
"367",2,5516.49845862711,"Whiteoaks","CNRM-CM5",3
"368",3,5743.82768733795,"Whiteoaks","CNRM-CM5",3
"369",4,NA,"Whiteoaks","CNRM-CM5",3
"370",5,5833.04509586007,"Whiteoaks","CNRM-CM5",3
"371",1,1172.29363057325,"XeriredOaks","CNRM-CM5",3
"372",2,1455.24781002961,"XeriredOaks","CNRM-CM5",3
"373",3,1546.86384791941,"XeriredOaks","CNRM-CM5",3
"374",4,NA,"XeriredOaks","CNRM-CM5",3
"375",5,1557.0407579578,"XeriredOaks","CNRM-CM5",3
"376",1,31.0025477707006,"XeriHwd","CNRM-CM5",3
"377",2,36.8235204346366,"XeriHwd","CNRM-CM5",3
"378",3,41.9355952735155,"XeriHwd","CNRM-CM5",3
"379",4,NA,"XeriHwd","CNRM-CM5",3
"380",5,43.3352453563732,"XeriHwd","CNRM-CM5",3
"381",1,594.033121019108,"WhitePine","CNRM-CM5",3
"382",2,613.54607331441,"WhitePine","CNRM-CM5",3
"383",3,615.81253453479,"WhitePine","CNRM-CM5",3
"384",4,NA,"WhitePine","CNRM-CM5",3
"385",5,697.428241376975,"WhitePine","CNRM-CM5",3
"386",1,871.696815286624,"Maples","CNRM-CM5",3
"387",2,1103.24613130666,"Maples","CNRM-CM5",3
"388",3,1293.55368300251,"Maples","CNRM-CM5",3
"389",4,NA,"Maples","CNRM-CM5",3
"390",5,1505.91976673319,"Maples","CNRM-CM5",3
"391",1,2875.98598726115,"MesicHard","CNRM-CM5",3
"392",2,3450.9364527058,"MesicHard","CNRM-CM5",3
"393",3,3965.83601819186,"MesicHard","CNRM-CM5",3
"394",4,NA,"MesicHard","CNRM-CM5",3
"395",5,4273.5712089164,"MesicHard","CNRM-CM5",3
"396",1,0,"Hemlock","CNRM-CM5",3
"397",2,0.496077892744865,"Hemlock","CNRM-CM5",3
"398",3,0.823107493518086,"Hemlock","CNRM-CM5",3
"399",4,NA,"Hemlock","CNRM-CM5",3
"400",5,1.3473349187191,"Hemlock","CNRM-CM5",3
"401",1,37.8078873953842,"Yellowpines","IPSL-CM5A-MR",3
"402",2,55.5306450543622,"Yellowpines","IPSL-CM5A-MR",3
"403",3,79.4258320969683,"Yellowpines","IPSL-CM5A-MR",3
"404",4,NA,"Yellowpines","IPSL-CM5A-MR",3
"405",5,97.3875586129853,"Yellowpines","IPSL-CM5A-MR",3
"406",1,3193.9476287091,"Whiteoaks","IPSL-CM5A-MR",3
"407",2,4299.70274794484,"Whiteoaks","IPSL-CM5A-MR",3
"408",3,4974.35684759585,"Whiteoaks","IPSL-CM5A-MR",3
"409",4,NA,"Whiteoaks","IPSL-CM5A-MR",3
"410",5,5162.27001416021,"Whiteoaks","IPSL-CM5A-MR",3
"411",1,662.211260461577,"XeriredOaks","IPSL-CM5A-MR",3
"412",2,990.304876027579,"XeriredOaks","IPSL-CM5A-MR",3
"413",3,1175.0272560162,"XeriredOaks","IPSL-CM5A-MR",3
"414",4,NA,"XeriredOaks","IPSL-CM5A-MR",3
"415",5,1220.54589329374,"XeriredOaks","IPSL-CM5A-MR",3
"416",1,29.3659650012681,"XeriHwd","IPSL-CM5A-MR",3
"417",2,37.0601133651551,"XeriHwd","IPSL-CM5A-MR",3
"418",3,42.5397176422286,"XeriHwd","IPSL-CM5A-MR",3
"419",4,NA,"XeriHwd","IPSL-CM5A-MR",3
"420",5,45.17275457757,"XeriHwd","IPSL-CM5A-MR",3
"421",1,472.919097134162,"WhitePine","IPSL-CM5A-MR",3
